text,label,true_label,predicted_label,confidence,confidence_margin,word_count,probability_world,probability_sports,probability_business,probability_sci_tech,confusion_pair,selection_note
"BearingPoint CFO Out; Error Found McLean technology consulting company BearingPoint Inc. said yesterday that its chief financial officer, Robert S. Falcone, would retire on Nov. 30.",3,Sci/Tech,Business,0.6277148723602295,0.25742417573928833,26,0.0015410763444378972,0.00045337018673308194,0.6277148723602295,0.37029069662094116,Sci/Tech -> Business,Representative confusion-pair sample with varied confidence
"Ecuadorean Lawsuit Vs Texaco Boils Down to Science (Reuters) Reuters - After a decade of court battles, lawyers on Wednesday took a lawsuit by Ecuadorean Indians accusing U.S. oil firm ChevronTexaco Corp.. of polluting the Amazon jungle into the field.",3,Sci/Tech,Business,0.4602554738521576,0.17140844464302063,40,0.249546080827713,0.0013514062156900764,0.4602554738521576,0.28884702920913696,Sci/Tech -> Business,Representative confusion-pair sample with varied confidence
"Philippines mourns dead in Russian school siege The Philippines Saturday expressed ""deepest sympathy "" to the families of the dead in the Russian school siege on Friday, in which 322 people were killed when Russian troops stormed",3,Sci/Tech,World,0.9972412586212158,0.9953849967569113,37,0.9972412586212158,0.00022083443764131516,0.0018562618643045425,0.0006815679953433573,Sci/Tech -> World,Representative confusion-pair sample with varied confidence
'Money woes' foiled Beagle 2 shot A report into the loss of British Mars probe Beagle 2 blames the UK government's failure to commit funds early.,3,Sci/Tech,World,0.4339387118816376,0.05386972427368164,26,0.4339387118816376,0.0012009497731924057,0.1847914308309555,0.38006898760795593,Sci/Tech -> World,Representative confusion-pair sample with varied confidence
FleetCenter to be reunion arena It has all the gossipy intrigue and social awkwardness of seating the still-respected ex-wife and the sexy new girlfriend at the same table for a family wedding.,1,Sports,Business,0.46332240104675293,0.031657904386520386,32,0.02803569845855236,0.43166449666023254,0.46332240104675293,0.07697735726833344,Sports -> Business,Representative confusion-pair sample with varied confidence
"Oil prices bubble to record high The price of oil has continued its sharp rise overnight, closing at a record high. The main contract in New York, light sweet crude for delivery next month, has closed at a record $US46.75 a barrel - up 70 cents on yesterday's close.",0,World,Business,0.9962504506111145,0.9939273062627763,49,0.0023231443483382463,0.0001915746252052486,0.9962504506111145,0.0012349073076620698,World -> Business,Representative confusion-pair sample with varied confidence
Producer sues for Rings profits Hollywood producer Saul Zaentz sues the producers of The Lord of the Rings for $20m in royalties.,0,World,Business,0.39560866355895996,0.05712434649467468,22,0.2633676826953888,0.002539339242503047,0.39560866355895996,0.3384843170642853,World -> Business,Representative confusion-pair sample with varied confidence
"Mars water tops science honours The discovery that salty, acidic water once flowed across the surface of Mars has topped a list of the 10 key scientific advances of 2004.",0,World,Sci/Tech,0.9923741221427917,0.9867282994091511,30,0.005645822733640671,0.00018336610810365528,0.0017967370804399252,0.9923741221427917,World -> Sci/Tech,Representative confusion-pair sample with varied confidence
Next Big Hit at the Modern: Its Reopening The buzz over the greatly enlarged museum is expected to turn into a cacophony on Saturday.,0,World,Sci/Tech,0.3713543117046356,0.07537186145782471,24,0.26465824246406555,0.06800495088100433,0.2959824502468109,0.3713543117046356,World -> Sci/Tech,Representative confusion-pair sample with varied confidence
"USC, Miami Top BCS Standings, Not Okla. Southern California took the top spot Monday in the season's first Bowl Championship Series standings, and surprisingly Miami is ahead of Oklahoma in a close race for the second spot. Oklahoma is No...",0,World,Sports,0.6121984124183655,0.23032256960868835,40,0.3818758428096771,0.6121984124183655,0.0047118631191551685,0.0012138828169554472,World -> Sports,Representative confusion-pair sample with varied confidence
